0,1,2
Deep Sea Fishing with Cabin boat,"132,000 Ksh",Up to 4 pax
Deep Sea Fishing with Open Deck Boat,"79,200 Ksh",Up to 4 pax
Fishing on the Channel,"15,500 Ksh",Up to 4 pax
