0,1,2
Dhow Sunset,"15,000 Ksh",From 1700h - 1830h
Dhow Sunrise,"16,000 Ksh",From 0600h - 0800h
Dhow Lessons,"8,000 Ksh",Up to 4 pax
Mini Dhow Dinner (2pax),"28,500 Ksh",From 1700h - 2200h
Sailing Day Out in the Dhow,"33,000 Ksh",From 0900h - 1600h
Roman � c Dhow Chill,"20,000 Ksh",From 1700h - 2200h
Happy Birthday Dhow,"20,000 Ksh",From 1700h - 1845h
Will you MarryMe,"20,000 Ksh",From 1700h - 1845h
Trip around Lamu with Dhow,"33,000 Ksh",From 0900h - 1600h
