Trip to Shela with Guide,4 pax,"5,500 Ksh"
Trip to Lamu with Guide,4 pax,"7,200 Ksh"
Trip to Shela and Lamu with Guide,4 pax,"11,500 Ksh"
Trip to Matondoni with Guide,4 pax,"19,800 Ksh"
Trip to Takwa Ruins,4 pax,"10,560 Ksh"
Trip to Pate Island,4 pax,"66,000 Ksh"
