,,SINGLE ROOM.B/B,SINGLE ROOM.H/B,SINGLE ROOM.F/B,DOUBLE ROOM.B/B,DOUBLE ROOM.H/B,DOUBLE ROOM.F/B,TRIPLE ROOM.B/B,TRIPLE ROOM.H/B,TRIPLE ROOM.F/B,SINGLE ROOM 1 AD + 1 CH.B/B,SINGLE ROOM 1 AD + 1 CH.H/B,SINGLE ROOM 1 AD + 1 CH.F/B
Superior,Ksh,15300,18300,21300,30800,33800,36800,38500,41500,44500,22950,25950,28950
Junior suite,Ksh,21700,24700,27700,34800,37800,40800,43500,46500,49500,32550,35550,38550
Suite Room,Ksh,26000,29000,32000,41000,44000,47000,51250,54250,57250,39000,42000,45000
