,,SINGLE ROOM.B/B,SINGLE ROOM.H/B,SINGLE ROOM.F/B,DOUBLE ROOM.B/B,DOUBLE ROOM.H/B,DOUBLE ROOM.F/B,TRIPLE ROOM.B/B,TRIPLE ROOM.H/B,TRIPLE ROOM.F/B,SINGLE ROOM 1 AD + 1 CH.B/B,SINGLE ROOM 1 AD + 1 CH.H/B,SINGLE ROOM 1 AD + 1 CH.F/B
Superior,Ksh,13500,16000,18500,20900,25900,30900,26120,33620,41120,20250,24000,27750
Junior suite,Ksh,17600,20100,22600,25200,30200,35200,31500,39000,46500,26400,30150,33900
Suite Room,Ksh,20900,23400,25900,30000,35000,40000,37500,45000,52500,31350,35100,38850
