,,SINGLE ROOM.B/B,SINGLE ROOM.H/B,SINGLE ROOM.F/B,DOUBLE ROOM.B/B,DOUBLE ROOM.H/B,DOUBLE ROOM.F/B,TRIPLE ROOM.B/B,TRIPLE ROOM.H/B,TRIPLE ROOM.F/B,1 AD + 1 CH SINGLE ROOM.B/B,1 AD + 1 CH SINGLE ROOM.H/B,1 AD + 1 CH SINGLE ROOM.F/B
Superior,Ksh,10400,12900,15400,15300,20300,25300,19120,26620,34120,15600,19350,23100
Junior suite,Ksh,13000,15500,18000,20100,25100,30100,25120,32620,40120,19500,23250,27000
Suite Room,Ksh,15600,18100,20600,23400,28400,33400,29250,36750,44250,23400,27150,30900
