0,1
Children policy: Sharing with adult,Children policy: In own room
2 Adults sharing with 1 child: Double rate + 50% of half double rate.,1 adult+ 2 children: Double rate.
2 adults with 2 children: Double rate + 50% of Double rate.,2 children sharing own room: 75% of Double rate.
1 adult and 1 child: Single rate.,3 Children sharing own room: Double rate
,1 child own room: 75% Single rate
,12 years and above: Full adult rate
