Rack Residents Rates.Room Type,2nd January to 20th December 2025.Half-board,2nd January to 20th December 2025.Full-board,20th December January 2026 2025 to 2nd.Half-board,20th December January 2026 2025 to 2nd.Full-board
Luxury Villa,"17,000","19,000","20,500","26,000"
,"20,000","23,000","28,000","33,000"
