,WEEKDAYRATES COMMISSIONABLE (10%).BB,WEEKDAYRATES COMMISSIONABLE (10%).HB,WEEKDAYRATES COMMISSIONABLE (10%).FB,WEEKEND RATES NOTCOMMISSIONABLE.BB,WEEKEND RATES NOTCOMMISSIONABLE.HB,WEEKEND RATES NOTCOMMISSIONABLE.FB
ROOMTYPE,,,,,,
SINGLE,"10,000","13,000","16,000","9,000","11,000","13,000"
DOUBLE,"15,000","17,000","20,000","14,000","16,000","18,000"
