,Capacity
Rooms on Single occupancy,203
Bed Capacity,453
Twin rooms,65
Rooms for Special needs,8
,No of conference Rooms
Conference Rooms,20
Board Rooms,2
,Capacity
Fahari,120
Pool deck,60
Cube 1,60
Cube 2,75
Cube 3,75
Cube 4,55
Private dining hall,100
Swimming Pool,Complimentary for
Nature Walk - AM/PM,
Aerobics,Residence
Garden Dinner setups,
Cocktails,
