0,1
Type,Rate per person in Kshs
Full day Conference,"4,500"
Half day conference,"4,000"
Breakout Room,"50,000 per day"
Team Building,"4,500 per person without facilitator"
Lunch/Dinner,"Kshs,2,800"
Breakfast,"Kshs.2,000"
