0,1,2
HIGH SEASON 3RD JAN - 31ST MARCH & 1ST NOV - 23RD DEC,One Night Two Nights Extra night,USD. 725 USD. 975 USD. 250
LOW SEASON 1ST APRIL - 31ST MAY,One Night Two Nights Extra night,USD. 695 USD. 880 USD. 210
PEAK SEASON& EASTER PERIOD 1ST JUN -31ST OCT & 24TH DEC - 2ND JAN 2026,One Night Two Nights Extra night,"USD. 780 USD. 1,090 USD. 285"
