MEAL PLAN - HALFBOARD.SEASONS,MEAL PLAN - HALFBOARD.DATES,StandardRoom.SINGLE,StandardRoom.DOUBLE,PremiumRoom.SINGLE,PremiumRoom.DOUBLE,Deluxe Room.SINGLE,Deluxe Room.DOUBLE,Executive Suites (max 4 Pax).DOUBLE,Executive Suites (max 4 Pax).QUADRUPLE,Presidential Suite (Max 4 Persons).DOUBLE,Presidential Suite (Max 4 Persons).QUADRUPLE
SHOULDER,05 JAN - 31 JULY,75,95,95,115,115,135,225,265,305,355
LOW,01 AUG - 31 AUG,70,90,90,110,110,130,220,260,300,350
SHOULDER,01 OCT - 18 DEC,75,95,95,115,115,135,225,265,305,355
FESTIVE SEASON,19 DEC- 04 JAN,145,185,170,210,195,245,405,465,540,590
