BED &BREAKFAST.SEASONS,BED &BREAKFAST.DATES,Deluxe Room.SINGLE,Deluxe Room.DOUBLE,Executive Sea View.SINGLE,Executive Sea View.DOUBLE,Executive King Sea View.SINGLE,Executive King Sea View.DOUBLE
SHOULDER,05 JAN - 31 JULY,120,145,145,170,170,195
LOW,01 AUG - 31 AUGUST,110,135,135,160,160,185
SHOULDER,01 SEPT - 18 DEC,120,145,145,170,170,195
FESTIVE SEASON,19 DEC- 04 JAN,200,225,225,250,250,275
