SUPPLEMENTS & REDUCTIONS,SUPPLEMENTS & REDUCTIONS,SUPPLEMENTS & REDUCTIONS,SUPPLEMENTS & REDUCTIONS,SUPPLEMENTS & REDUCTIONS
Half Board Full Board,30,In $Pax/Day In $Pax/Day,Pax/Day Pax/Day,Supplement Supplement
,60,,,
3 rd Bed Adult,,50%,Pax/Day,PriceRoom
Xmas Eve Dinner,60,In $Pax,Pax,Mandatory Supplement
NewYear's Eve,90,In $Pax,Pax,Mandatory Supplement
