0,1,2,3
,LS:,LowSeason,from 1 st April to 20 st December2025AND 1 st to 30 th April 2025
,MS:,Medium Season,from 10 th January2025to 31 st March 2025 from 07 th January2026to 31 st March 2026
,TS:,Top Season,from 21 nd December 2025to 06 th January2026 only half board
