Included in Rates:,Not Included In rates
Accommodation & Welcome drinks,Flight
Breakfast,Visa
HB/FBinclusive of a soft drink during meals,Airport transfer (on request and upon payment)
Daily housekeeping services &turndown,"Beverage (water, drinks, Wines & Spirits)"
Waiter services,Laundry service
Beach/Pool towels/ Sunbeds,Spa Medicallife
Satellite TV,"All Other Activities, Excursions and Tips"
FREE WIFI BY FIBER,
All taxes are included,
