Accommodation.,Accommodation.,Rack USD PPPD.,Nett USD PPPD.,Conservation fee USD PPPD.ADULT,Conservation fee USD PPPD.CHILD
Luxury Tented Cottage,Double occupancy,"$1,250","$1,000",$150,$75
Luxury Tented Cottage,Single occupancy,"$1,500","$1,200",$150,$75
Luxury Tented Cottage,Child in third bed *Child: any person below 17 years old,$600,$480,,$75
Hemingway Simba Suite,Double occupancy,"$1,500","$1,200",$150,$75
Hemingway Simba Suite,Single occupancy,"$1,900","$1,520",$150,$75
Hemingway Simba Suite,Child in third bed *Child: any person below 17 years old,$750,$600,,$75
Guide,Guide,,$250,$75,
