Meal Plan,From,To,Per Person in twin,Per Person in single,3 rd adult Sharing-,Child (4-12) Sharing
FB,01/04/2025 01/11/2025,30/06/2025 22/12/2025,130 130,190 190,75 75,50%* Per Adult Sharing
FB,01/01/2025 01/07/2025 23/12/2025,31/03/2025 31/10/2025 31/12/2025,150 150 150,230 230 230,80 80 80,50%* Per Adult Sharing
