IN,OUT,SGL,DBL,,PP,3rd - 4th bed ADT,3rd - 4th bed CHD *,Minimum Stay - days
12/07/24,04/08/24,153,219,109,82,55,,1
05/08/24,08/09/24,211,302,151,113,75,,2
09/09/24,10/10/24,153,219,109,82,55,,1
11/10/24,03/11/24,211,302,151,113,75,,2
04/11/24,08/12/24,153,219,109,82,55,,1
09/12/24,22/12/24,186,266,133,100,66,,2
23/12/24,12/01/25,321,459,229,172,115,,4
13/01/25,09/02/25,186,266,133,100,66,,2
10/02/25,02/03/25,211,302,151,113,75,,2
03/03/25,10/04/25,186,266,133,100,66,,1
11/04/25,27/04/25,211,302,151,113,75,,2
