Diani Sea Resort,2025,2025,2025,2025,2025,2025/6
Diani Sea Resort,05.01- 30.04,01.05- 18.05,21.06- 08.07,09.07- 30.09,01.10- 20.12,21.12- 04.01
Comfort Double Per Person,12900,10500,10500,12300,13700,20100
Comfort Single Per Person,18000,14700,14700,17100,19100,28200
