Diani Sea Lodge.,2025.05.01-27.4,2025.28.04-23.05,2025.24.05-08.07,2025.09.07-30.09,2025.01.10-20.12,2025/6.21.12- 04.01
Comfort Double Per Person,12200,CLOSED,9600,11600,12800,19300
Comfort Single Per Person,17000,CLOSED,13400,16200,17900,27000
