 ,**Low Season rates(Non Resident Net Rates )**,**Low Season rates(Non Resident Net Rates )**,**Low Season rates(Non Resident Net Rates )**,**Low Season rates(Non Resident Net Rates )**,Regular  Season Net  rates,Regular  Season Net  rates,Regular  Season Net  rates,Regular  Season Net  rates,High  Season Net rates,High  Season Net rates,High  Season Net rates,High  Season Net rates
**Non Resident Net Rates**,"**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December", ,"July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
**Non Resident Net Rates**,"**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December", ,"July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
Rooms & Suites,**Single**,**Double**,**Triple**,**Quad**, Single  , Double  , Triple  , Quad ,**Single**,**Double**,**Triple**,**Quad**
**Warriors Deluxe   suites**,**240**,**320**,**N/A**,**N/A**,**270**,**360**,**N/A**,**N/A**,**435**,**580**,**N/A**,**N/A**
**Elephant Junior suites**,**300**,**400**,**570**,**720**,**330**,**440**,**600**,**800**,**480**,**640**,**900**,"**1,200**"
**Governors suites (1.5 Bedroom )**,**360**,**480**,**690**,**880**,**390**,**520**,**720**,**960**,**525**,**700**,"**1,050**","**1,400**"
**King lion suites  (2 bed room )**,**N/A**,**720**,**840**,**960**,**N/A**,       780 ,**910**,"**1,040**",**N/A**,"**1,050**","**1,575**",**2100**
