 ,**Low Season rates(Non Resident Net Rates )**,**Low Season rates(Non Resident Net Rates )**,**Low Season rates(Non Resident Net Rates )**,**Low Season rates(Non Resident Net Rates )**,Regular  Season Net  rates,Regular  Season Net  rates,Regular  Season Net  rates,Regular  Season Net  rates,High  Season Net rates,High  Season Net rates,High  Season Net rates,High  Season Net rates
**Non Resident Ground package**,,,,,,,, ,"July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
**Non Resident Ground package**,,,,,,,, ,"July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
Rooms & Suites,**Single**,**Double**,**Triple**,**Quad**, Single  , Double  , Triple  , Quad ,**Single**,**Double**,**Triple**,**Quad**
**Warriors Deluxe   suites**,**540**,**620**,**N/A**,**N/A**,**670**,**760**,**N/A**,**N/A**,**885**,**1030**,**N/A**,**N/A**
**Elephant Junior suites**,**600**,**700**,**870**,**1020**,**730**,**840**,**1000**,**1200**,**930**,**1090**,**1350**,"**1,650**"
**Governors suites (1.5 Bedroom )**,**660**,**780**,**990**,**1180**,**790**,**920**,**1120**,**1360**,**975**,**1150**,"**1,500**","**1,850**"
**King lion suites  (2 bed room )**,**N/A**,**1120**,**1140**,**1260**,**N/A**,       1180 ,**1310**,"**1,440**",**N/A**,"**1,500**",**2025**,"**2,550**"
