 ,**Low Season rates(Resident Net Rates )**,**Low Season rates(Resident Net Rates )**,**Low Season rates(Resident Net Rates )**,**Low Season rates(Resident Net Rates )**,Regular  Season Net rates,Regular  Season Net rates,Regular  Season Net rates,Regular  Season Net rates,High  Season Net rates,High  Season Net rates,High  Season Net rates,High  Season Net rates
**Resident Net Rates**,"**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
**Resident Net Rates**,"**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
Rooms & Suites,**Single**,**Double**,**Triple**,**Quad**, Single  , Double  , Triple  , Quad ,**Single**,**Double**,**Triple**,**Quad**
**Warriors Deluxe   suites**,"**18,750**","**25,000**",**N/A**,**N/A**,"**20,250**","**27,000**",**N/A**,**N/A**,"**37,500**","**50,000**",**N/a**,**N/a**
**Elephant Junior suites**,"**24,000**","**32,000**","**45,000**","**60,000**","**25,500**","**34,000**","**45,000**","**60,000**","**45,000**","**60,000**","**75,000**","**90,000**"
**Governors suites (1.5 Bedroom )**,"**30,000**","**40,000**","**60,000**","**70,000**","**31,500**","**42,000**","**72,000**","**80,000**","**60,000**","**80,000**","**105,000**","**140,000**"
**King lion suites  (2 bed room )**,**N/A**,"**60,000**","**70,000**","**80,000**",**N/A**,"           63,000 ","**87,500**","**100,000**",**N/A**,"**120,000**","**135,000**","**180,000**"
