SEASON,ROOMTYPE,ROOMTYPE,RATE ( KES),SEASON,ROOMTYPE,ROOMTYPE,RATE (KES),SEASON,ROOMTYPE,ROOMTYPE,RATE (KES)
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,STANDARD,SINGLE,"27,000",LOWSEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,STANDARD,SINGLE,"21,000",EASTER HOLIDAY,STANDARD ROOM,SINGLE,"27,000"
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,ROOM,DOUBLE,"36,000",LOWSEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,STANDARD,DOUBLE,"30,000",EASTER HOLIDAY,STANDARD ROOM,DOUBLE,"36,000"
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,DELUXE ROOM (WITHBATHTUB),DELUXE ROOM (WITHBATHTUB),"38,000",LOWSEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,DELUXE ROOM (WITHBATHTUB),DELUXE ROOM (WITHBATHTUB),"32,000",EASTER HOLIDAY,DELUXE ROOM (WITHBATHTUB),DELUXE ROOM (WITHBATHTUB),"38,000"
HIGH JUL1 ST -AUG30 TH DEC19 TH -JAN3 RD,EXECUTIVEROOM (WITHPLUNGE POOL),EXECUTIVEROOM (WITHPLUNGE POOL),"40,000",LOWSEASON JAN4 TH -JUNE 31 ST SEPT-DEC 20 TH,EXECUTIVEROOM (WITHPLUNGE POOL),EXECUTIVEROOM (WITHPLUNGE POOL),"34,000",EASTER HOLIDAY,EXECUTIVEROOM (WITHPLUNGE POOL),EXECUTIVEROOM (WITHPLUNGE POOL),"40,000"
