Inter Connecting Suite with a Mini pool,High,Low,Peak,Festive
Interconnecting Suite Single,230,190,310,330
Interconnecting Double Per Person Sharing,260,180,280,330
Interconnecting Triple Per Person Sharing,245,170,260,275
