,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.Occupancy,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.BB,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.HB,Regular Season 01/01/2025 to 31/12/2025 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.FB
Standard room,Single,69,98,123
Standard room,Double/twin,123,133,171
Superior room,Single,99,123,133
Superior room,Double/twin,158,174,208
