,Regular Season 01/01/2024 to 31/12/2024 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.Occupancy,Regular Season 01/01/2024 to 31/12/2024 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.BB,Regular Season 01/01/2024 to 31/12/2024 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.HB,Regular Season 01/01/2024 to 31/12/2024 (Supplements applies on Easter Weekend) &December holidays from 22/12/2025 to 2/1/2026.FB
Standard room,Single,"5,259","7,432","8,803"
Standard room,Double/twin,"9,032","10,519","13,493"
Superior room,Single,"7,546","9,032","10,534"
Superior room,Double/twin,"12,005","13,892","15,893"
