Season,Room Type.Deluxe Single,Room Type.Deluxe Double/Twin,Room Type.Deluxe Triple Room
Low Season 5 th January 2025 to 30 th June 2025 1 st October 2025 to 21 st December 2025,120,160,240
Festive Season& Easter Holiday 22 nd December 2025 to 4 th January 2026,140,200,285
Peak Season 1 st July 2025 to 30 th September 2025,140,200,285
