Season,Room Type.Deluxe Single,Room Type.Deluxe Double/Twin,Room Type.Deluxe Triple Room
Low Season 5 th January 2025 to 30 th June 2025 1 st October 2025 to 21 st December 2025,"12,000","15,000","22,000"
High Season 1 st July 2025 to 30 th September 2025,"13,000","17,000","24,000"
Festive Season& Easter Holiday 22 nd December 2025 to 4 th January 2026,"13,000","17,000","24,000"
