,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,$ 117,$ 171,x,x,$ 55
DeluxeDouble Room,$ 123,$ 177,,,
Double room extra bed,$ 177,$ 177,$ 235,x,$ 55
Standard twin room,$ 117,$ 171,$229,x,$ 55
BananaPenthouseSuite,$ 265,$ 265,$ 324,x,$ 55
Wellness Penthouse Suite,$ 277,$ 277,$ 335,$ 394,$ 55
Sweet Penthouse,$ 241,$ 241,x,x,$ 55
Family room,$188,$ 188,$ 247,$ 306,$ 55
Budget singleroom,$88,x,x,,x
StandardSingle room,$ 112,,,,
Budget Double,$ 112,$ 165,x,x,x
