,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,$ 99,$ 145,x,x,$ 45
DeluxeDouble Room,$ 105,$ 150,,,
Double room extra bed,$ 150,$ 150,$ 200,x,$ 45
Standard twin room,$ 99,$ 145,$ 195,x,$ 45
BananaPenthouseSuite,$ 225,$ 225,$ 275,x,$ 45
Wellness Penthouse Suite,$ 235,$ 235,$ 285,$ 335,$ 45
Sweet Penthouse,$ 205,$ 205,x,x,$ 45
Family room,$160,$ 160,$ 210,$ 260,$ 45
Budget single room,$ 75,x,x,,x
StandardSingleroom,$ 95,,,,
Budget Double,$ 95,$ 140,x,x,x
