,Validity.2025,2025,Standard Room.Single,Standard Room.Double,Superior Room.Single,Superior Room.Double,VIP Club.Unit,Suite.Unit
Easter Shoulder,04/01/2025 - 16/04/2025,HB,24250,15510,31030,20650,53025,62380
Easter,17/04/2025 - 21/04/2025,HB,26200,16800,33385,21935,56845,66875
Low,22/04/2025 - 31/07/2025,HB,20330,12850,28035,17440,47750,56175
Spring Shoulder,01/08/2025 - 22/12/2025,HB,24250,15510,31030,20650,53025,62380
Festive,23/12/2025 - 03/01/2026,HB,39600,25790,49220,31880,69125,81320
