NON - RESIDENT RACK RATES.Lazy Days,Regular Season.325,Regular Season.Min 6 pax,Festive Season 25th Dec to 5th Jan.530,Festive Season 25th Dec to 5th Jan.Min 8 pax,Max Pax.16
Fishermans,420,Min 6 pax,680,Min 8 pax,12
The Family Cottage,325,Min 6 pax,530,Min 8 pax,12
Beach House,370,Min 6 pax,605,Min 8 pax,10
