Activity,Duration,Area,From Rate (USD),Notes
Kasarani Community Visit,2 - 3 hours,"Kasarani Village, Naivasha",Free but transfers are chargeable,Visit the village TAFA - Football team at Kasarani Wezesha Youth Support Program
Lake Nakuru National Park Day Trip,Full Day,Lake Nakuru National Park,$170,Costs include: Return transport Professional driver-guide Park entry fees Bottled water
Hell's Gate Half Day Tour,5 hours (06h30am- 16h30),Hell's Gate,$100,Costs include: Park entry ticket Bike hire Tour guide
