0,1,2,3,4
,,,,Pick up and drop off from your hotel or designated meeting point in Naivasha Boat ride Professional guide
Mt. Longonot Day Tour,7Hrs. (7am - 14h00),Mt. Longonot National Park,$120,Costs include: Pick up and drop off from your hotel or designated meeting point in Naivasha Entry fees to Mt. Longonot Professional guide
Crater Lake Day Trip,5Hrs. (9am - 13h00),Crater Lake Game Sanctuary,$90,Costs include: Entry ticket Tour guide Transfer from hotel or apartment and back
Lake Elementaita Conservancy,6 Hrs. (8am-14h00),Lake Elementaita,$135,"This UNESCO World Heritage Site is rich in birdlife and tranquillity, ideal for nature lovers. Costs include: Entry ticket Tour guide"
Lake Baringo Day Trip,06h30am - 18h00 Full Day,Lake Baringo,$100,Costs include: Guided boat safari on Lake Baringo Cultural visit Optional activities: reptile park& hot springs Park Fees
Lake Bogoria Day Trip,06h30am - 18h30 Full Day,Lake Bogoria,$175,Costs include: Return transport from your hotel Lake Bogoria National entry fees
