0,1,2,3,4
Golf,Varies,"Great Rift Valley Lodge at O'Leleshwa Retreat, Naivasha (18 Hole Championship course)",$30 $40 $30 $7 $3.50,Week days (18 holes) Weekends (18 holes) Weekends (9holes) Caddy (18 holes) Caddy (9holes)
Game Drives,2 Hrs. Day Time Day Time,"Oserengoni Naivasha Lake Nakuru, Naivasha Lake Elementaita",$35 $35 $70,"Excludes Transfer, tips, and park fees"
Flower Farm Tours,2 Hrs.,$60,$45,Guided tour and tea
Horseback Riding,30 Mins 1Hrs. 2Hrs.,"Sanctuary Farm, Naivasha",$23 $40 $55,"Excludes Transfer cost, snacks as it depends on how many guests request the transfer"
Cycling,1Hr. 2Hrs.,Naivasha,$5 $15,
