0,1,2,3,4
,,,,Pick up and drop off from hotel or apartment. Geothermal Spa is optional at an extra cost
Hell's Gate& Sanctuary Farm Walking Safari - 1 Day,5 hours (08am - 12h00noon),Hell's Gate,$120,Costs include: Park Entry Fee: Entry to Hell's Gate National Park. Bike Hire: Rental of a mountain bike for use in the park. Tour Guide: Professional guide for the day. Boat Ride: 1-hour boat ride on Lake Naivasha. Sanctuary Farm Guided Walking Safari: Guided walking
Hell's Gate& Lake Naivasha Day Tour,6 Hrs. (08am - 14h00),Hells Gate,$110,Costs include: Park entry ticket Bike hire Tour guide 1 hr boat Safari Pick up and drop off to hotel or apartment
Hell's Gate& Crescent Island Day Tour - Hell's Gate& Crescent Island Day Tour,8 Hrs. (8am - 17h00) 6Hrs. (8am -13h00),Hells Gate,$140 $100,Costs include: Park entry ticket Crescent Island entry ticket Bike hire Tour guide 1hr boat Safari Pick up and drop off to hotel or apartment.
Lake Naivasha Half day,4 Hrs. (8am -11h00),Lake Naivasha Half day,$70,Costs include:
