,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,"31,535","23,205","17,255"
CHILDREN SHARING (5-11)YRS,"15,768","11,603","8,628"
FAMILY SUITES (04 PAX),"94,605","69,615","51,765"
SINGLE OCCUPANCY,"37,485","27,540","20,485"
