,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,"41,055","35,105","23,205"
CHILDREN SHARING (5-11)YRS,"20,528","17,553","11,603"
FAMILY SUITES (04 PAX),"164,220","140,420","92,820"
SINGLE OCCUPANCY,"48,790","41,650","27,540"
