,16ThJun-30ThSep 20ThDec-5ThJan2026.PEAK,6ThJan-15ThApr 1stOct-7ThNov.HIGH,16ThApr-15ThJun 8ThNov-19ThDec.LOW
PER PERSON SHARING,"44,625","38,675","26,775"
CHILDREN SHARING (5-11)YRS,"22,313","19,338","13,388"
FAMILY SUITES (04 PAX),"178,500","154,700","107,100"
SINGLE OCCUPANCY,"53,040","45,985","31,790"
