,RESIDENTS.SINGLE OCCUPANCY.1 QUEENSIZE BED.RACK,RESIDENTS.SINGLE OCCUPANCY.1 QUEENSIZE BED.NETT,RESIDENTS.DOUBLE OCCUPANCY.1 QUEENSIZE BED.RACK,RESIDENTS.DOUBLE OCCUPANCY.1 QUEENSIZE BED.NETT,"RESIDENTS.TRIPLE OCCUPANCY.1 QUEENSIZE BED, 1 SINGLE BED/ 3 SINGLE BEDS.RACK","RESIDENTS.TRIPLE OCCUPANCY.1 QUEENSIZE BED, 1 SINGLE BED/ 3 SINGLE BEDS.NETT",NON-RESIDENTS.SINGLE OCCUPANCY.1 QUEENSIZE BED.RACK,NON-RESIDENTS.SINGLE OCCUPANCY.1 QUEENSIZE BED.NETT,NON-RESIDENTS.DOUBLE OCCUPANCY.1 QUEENSIZE BED.RACK,NON-RESIDENTS.DOUBLE OCCUPANCY.1 QUEENSIZE BED.NETT,"NON-RESIDENTS.TRIPLE OCCUPANCY.1 QUEENSIZE BED, 1 SINGLE BED/ 3 SINGLE BEDS.RACK","NON-RESIDENTS.TRIPLE OCCUPANCY.1 QUEENSIZE BED, 1 SINGLE BED/ 3 SINGLE BEDS.NETT"
FULL BOARD,"19,500","17,550","27,500","24,750","35,750","32,175",$ 165,$ 148.5,$ 250,$ 225,$ 325,$ 292.5
HALF BOARD,"18,500","16,650","25,000","22,500","32,500","29,250",$ 150,$ 135,$ 220,$ 200,$ 286,$ 257.4
