ACCOMMODATION.,ACCOMMODATION.Peak Season 1 st July- 15 th September 16 th December-5 th January,ACCOMMODATION.Regular Season 6 th January-31 st March 1 st June-30th June 16 th September-31 st October 1 st December-15 th December,ACCOMMODATION.Green Season 1 st April-31 st May 1 st November -30 th November
Lodge - Non Residents,Rack Rate US$,Rack Rate US$,Rack Rate US$
Adult per person/night FB,550,440,368
Child per person/night FB,275,220,184
Family (2 adults; 2 children) Per group/per night - sharing one room FB,"1,320","1,056",924
