LODGEHIRE.,Rack Rate US$
"5 nights self-catered, self-drive. Max20 people","7,150"
7 nights self-catered self- drive. Max 20 people,"10,450"
"Lodge Inclusions: Lodge staff including room attendant, waiter, chef. All linen and towels, laundry service","Lodge Inclusions: Lodge staff including room attendant, waiter, chef. All linen and towels, laundry service"
"Lodge Exclusions: Conservation fees, Beading workshop, beauty treatments, game drives (extra US$30 per person per drive). For 3+ nights one day visit to Ngarendare Forest Trust at an extra fee of $70 per person per drive.","Lodge Exclusions: Conservation fees, Beading workshop, beauty treatments, game drives (extra US$30 per person per drive). For 3+ nights one day visit to Ngarendare Forest Trust at an extra fee of $70 per person per drive."
