Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Christmas & New Year (20 th December - 5 th January 2025),Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Christmas & New Year (20 th December - 5 th January 2025),"Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Premium Season (July, August, September)","Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Premium Season (July, August, September)","Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st - 19 December)","Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st - 19 December)"
Residence Villa,$805 2-4 PAX,Residence Villa,$755 2-4 PAX,Residence Villa,$510 2-4 PAX
Residence Villas,$695 5-6 PAX,Residence Villa,$650 5-6 PAX,Residence Villa,$455 5-6 PAX
