Packages,Child < 10 Yrs,Adult > 11 Yrs
Bronze: Ropes and simple lunch,"1,800","2,500"
"Silver: Ropes, tea, snacks, and 3 course lunch","2,000","3,500"
"Diamond: Ropes, slides, tea, snacks, and 4 course lunch","3,000","4,500"
"Gold: Slides, tea, snacks, and 3 course lunch","2,000","3,500"
"Platinum: All-inclusive: steam, sauna, & massage","3,500","6,000"
Palladium: Slides and Simple Lunch,"1,800","2,500"
Childrens park: 4-7 years old,"1,800",200
