,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,750,650,450
CHILDREN SHARING (5-11)YRS,375,325,225
FAMILY SUITES (04 PAX),"3,000","2,600","1,800"
SINGLE OCCUPANCY,890,770,530
