,16ThJun-30ThSep 20ThDec-5ThJan2026.PEAK,6ThJan-15ThApr 1stOct-7ThNov.HIGH,16ThApr-15ThJun 8ThNov-19ThDec.LOW
PER PERSON SHARING,590,490,390
CHILDREN SHARING (5-11)YRS,295,245,195
FAMILY SUITES (04 PAX),"1,770","1,470","1,170"
SINGLE OCCUPANCY,700,580,460
