,16ThJun-30ThSep 20ThDec-5ThJan2026.PEAK,6ThJan-15ThApr 1stOct-7ThNov.HIGH,16ThApr-15ThJun 8ThNov-19ThDec.LOW
PER PERSON SHARING,690,590,390
CHILDREN SHARING (5-11)YRS,345,295,195
FAMILY SUITES (04 PAX),"2,760","2,360","1,560"
SINGLE OCCUPANCY,820,700,460
