,16ThJun-30ThSep 20ThDec-5ThJan2026,6ThJan-15ThApr 1stOct-7ThNov,16ThApr-15ThJun 8ThNov-19ThDec
,PEAK,HIGH,LOW
PER PERSON SHARING,530,390,290
CHILDREN SHARING (5-11)YRS,265,195,145
FAMILY SUITES (04 PAX),"1,590","1,170",870
SINGLE OCCUPANCY,630,460,345
