ROOMTYPE...RESORT ROOMS (US$),CLIENT...RESORT ROOMS (US$),HIGH SEASON.02.01.2025-31.03.2025 01.07.2025- 01.01.2026 (Excluding Festive Christmas/New Year).One Night Package.RESORT ROOMS (US$),HIGH SEASON.02.01.2025-31.03.2025 01.07.2025- 01.01.2026 (Excluding Festive Christmas/New Year).Extra Night Package.RESORT ROOMS (US$),GREEN SEASON.01.04.2025-17.04.2025 22.04.2025-30.06.2025 (Excluding Easter Holidays).One Night Package.RESORT ROOMS (US$),GREEN SEASON.01.04.2025-17.04.2025 22.04.2025-30.06.2025 (Excluding Easter Holidays).Extra Night Package.RESORT ROOMS (US$)
Single Lodge Room,Per Solo Traveler,320,260,300,240
Double Lodge Room,Per Person Sharing,275,215,255,195
Triple Lodge Room,Per Person Sharing,238,186,218,166
