**Accommodation Type**,**FB (Full Board) per Room per Night**,**HB (Half Board) per Room per Night**
Double,"KES 33,000","KES 29,000"
Single,"KES 22,000","KES 20,000"
Child Sharing (Maximum 2),"KES 7,000","KES 5,800"
One Child in Own Room,"KES 16,000","KES 15,000"
Two Children in Own Room,"KES 23,000","KES 21,000"
Three Children in Own Room,"KES 34,500","KES 31,500"
One Bedroom Suite: Double,"KES 44,500","KES 41,000"
One Bedroom Suite: Single,"KES 34,500","KES 32,500"
