,STANDARD,SUPERIOR,DELUXE,EXECUTIVE
SINGLE,"KSH.12,500","KSH.14,700","KSH.15,800","KSH.18,000"
DOUBLE,"KSH.10,500 PPS","KSH.12,700 PPS","KSH.13,800 PPS","KSH.16,000 PPS"
TRIPLE,"KSH.10,500 PPS","KSH.12,700 PPS","KSH.13,800 PPS","KSH.16,000 PPS"
