,STANDARD,SUPERIOR,DELUXE,EXECUTIVE
SINGLE,"KSH.10,500","KSH.12,700","KSH.13,800","KSH.16,000"
DOUBLE,"KSH.8,500 PPS","KSH.10,700 PPS","KSH.12,800 PPS","KSH.14,000 PPS"
TRIPLE,"KSH.8,500 PPS","KSH.10,700 PPS","KSH.12,800 PPS","KSH.14,000 PPS"
