0,1,2
Full Board supplement,$20,pp / pd
All Inclusive supplement,$44,pp / pd
3rd bed reduction - adult,30%,rate
Children (2-11) sharing room,50%,adult rate
Children (2-11) own room,80%,adult rate
single supplement - room / suite,50%,rate
"Easter Supplement - fri, sat, sun, mon",$24,"pp / pd April 18, 19, 20 & 21"
Xmas 25th & New Year eve 31st Dec,$40,pp / pd
