Room categories,Meal plan,Rate per night (KSH)
Deluxe Ocean Front,Bed and breakfast,"15,000.00"
Studio with Kitchenette (Ocean view),Bed and breakfast,"15,000.00"
J-Suite with kitchenette &private plunge pool (Beachfront),Bed and breakfast,"25,000.00"
3-bedroomApartment (Garden view),Self-catering,"20,000.00"
3-Bedroom Apartment (Pool &Ocean view),Self-catering,"25,000.00"
4-bedroomApartment (Ocean view),Self-catering,"25,000.00"
