Room categories,Meal plan,Rate (KSH)
Deluxe Ocean Front (Beachfront),Bed and breakfast,"30,000.00"
Studio with small Kitchenette (Ocean view),Bed and breakfast,"30,000.00"
J-Suite with private plunge pool (Beachfront),Bed and breakfast,"40,000.00"
3-bedroomApartment (Garden view),Self-catering,"40,000.00"
3-Bedroom Apartment (Pool &Ocean view),Self-catering,"60,000.00"
4-bedroomApartment (Ocean view),Self-catering,"60,000.00"
