Room categories,Meal plan,Rate (KSH)
Deluxe Ocean Front,Bed and breakfast,"25,000.00"
Studio with Kitchenette (Ocean view),Bed and breakfast,"25,000.00"
J-Suite with kitchenette &private plunge pool (Beachfront),Bed and breakfast,"30,000.00"
3-bedroom Apartment (Garden view),Self-catering,"30,000.00"
3-Bedroom Apartment (Pool &Ocean view),Self-catering,"40,000.00"
4-Bedroom Apartment (Ocean view),Self-catering,"40,000.00"
