Room categories,Meal plan,Rate (KSH)
Deluxe Ocean Front,Bed and breakfast,"20,000.00"
Studio with Kitchenette (Ocean view),Bed and breakfast,"20,000.00"
J-Suite with kitchenette &private plunge pool (Beachfront),Bed and breakfast,"25,000.00"
