,HIGH SEASON 02 Jan 25- 31 Mar 25 01 July 25 - 22 Dec 25,01 April 25- 30 June 25 (Excluding Easter Holidays) GREEN SEASON,EASTER HOLIDAYS 18 April 25 - 21 April 25,FESTIVE HOLIDAYS 23 Dec 25- to 01 Jan 26
Single Lodge Room,"KES. 21,400","KES. 18,025","KES. 27,700","KES. 30,400"
Double Lodge Room,"KES. 27,700","KES. 23,200","KES. 36,100","KES. 39,700"
