0,1
INCLUDED,"• Accommodation. • meals on full board (lunch, dinner & breakfast). • Game drives. • Airstrip transfers. • One sundowner. • Transfer to masai villages. • Wifi • All taxes"
EXCLUDED,"• Masai Mara National Reserve fees (USD 100 per adult per day for non- residents January-June, USD 200 per person per day July - December. • Additional activities (Balloon safaris - price on request - and village visits USD 20 per adult, USD 10 per child payable directly at the village in cash). • Tips, gratuities, items of personal nature • Late departure (after 2 pm): pays extra lunch if required. Changing and toilet facilities available. • Additional meals: packed lunch USD 40 per person, extra lunch USD 50 per person"
