SEASON,NON-RESIDENTS RATE (US$),RESIDENTS RATE (KSH)
3RD JAN - 3RD MAY | 1ST OCT - 10 DEC,480,"35,400"
4 MAY - 30 JUN,480,"35,400"
1ST JUL -30TH SEPT | 11TH DEC - 20TH DEC,535,"38,900"
