FULL BOARD RATE FOR.F,FULL BOARD RATE FOR.,LODGE.Double,LODGE.Single,LODGE.Family,TENTS.Double,TENTS.Single,TENTS.Family
3/1/2025,31/3/2025,380,250,720,460,310,920
1/4/2025,30/6/2023,340,220,680,420,280,840
1/7/2025,10/7/2025,460,320,920,560,380,1120
11/7/2025,31/8/2025,560,380,1120,640,440,1280
1/9/2025,30/9/2025,460,320,920,560,380,1120
1/10/2025,22/12/2025,380,250,720,460,310,920
23/12/2025,2/1/2026,500,340,940,580,400,1160
